,previous_state,current_state
96,"[[3, 5, 6], [2, 7, 4], [1, 0, 8]]","[[3, 5, 6], [2, 0, 4], [1, 7, 8]]"
97,"[[3, 6, 7], [1, 0, 5], [8, 2, 4]]","[[3, 6, 7], [0, 1, 5], [8, 2, 4]]"
98,"[[3, 6, 7], [2, 4, 8], [1, 5, 0]]","[[3, 6, 7], [2, 4, 8], [1, 0, 5]]"
99,"[[0, 6, 7], [3, 2, 4], [1, 5, 8]]","[[6, 0, 7], [3, 2, 4], [1, 5, 8]]"
100,"[[2, 3, 0], [5, 7, 6], [1, 8, 4]]","[[2, 0, 3], [5, 7, 6], [1, 8, 4]]"
101,"[[3, 5, 6], [1, 2, 7], [8, 0, 4]]","[[3, 5, 6], [1, 0, 7], [8, 2, 4]]"
102,"[[3, 5, 6], [2, 7, 4], [1, 0, 8]]","[[3, 5, 6], [2, 7, 4], [0, 1, 8]]"
103,"[[6, 2, 7], [3, 0, 5], [1, 8, 4]]","[[6, 2, 7], [0, 3, 5], [1, 8, 4]]"
104,"[[6, 2, 7], [3, 0, 5], [1, 8, 4]]","[[6, 2, 7], [3, 5, 0], [1, 8, 4]]"
105,"[[2, 3, 6], [1, 0, 7], [8, 5, 4]]","[[2, 3, 6], [1, 7, 0], [8, 5, 4]]"
106,"[[2, 3, 6], [5, 7, 4], [1, 8, 0]]","[[2, 3, 6], [5, 7, 4], [1, 0, 8]]"
107,"[[2, 3, 7], [1, 6, 5], [8, 0, 4]]","[[2, 3, 7], [1, 6, 5], [8, 4, 0]]"
108,"[[3, 5, 6], [2, 8, 0], [1, 4, 7]]","[[3, 5, 0], [2, 8, 6], [1, 4, 7]]"
109,"[[3, 6, 0], [2, 8, 7], [1, 4, 5]]","[[3, 0, 6], [2, 8, 7], [1, 4, 5]]"
110,"[[3, 6, 7], [5, 0, 4], [2, 1, 8]]","[[3, 0, 7], [5, 6, 4], [2, 1, 8]]"
111,"[[3, 6, 7], [5, 0, 4], [2, 1, 8]]","[[3, 6, 7], [5, 1, 4], [2, 0, 8]]"
112,"[[3, 6, 7], [5, 0, 4], [2, 1, 8]]","[[3, 6, 7], [5, 4, 0], [2, 1, 8]]"
